iter	Passed	Remaining
409	3983	5732
410	3991	5719
411	3999	5708
412	4007	5695
413	4015	5683
414	4023	5671
415	4031	5659
416	4039	5647
417	4047	5635
418	4055	5622
419	4062	5610
420	4069	5597
421	4077	5584
422	4084	5571
423	4091	5558
424	4101	5548
425	4109	5537
426	4117	5524
427	4124	5511
428	4132	5500
429	4139	5487
430	4148	5476
431	4155	5463
432	4163	5451
433	4170	5438
434	4178	5427
435	4186	5414
436	4194	5403
437	4202	5391
438	4210	5380
439	4218	5369
440	4226	5357
441	4234	5345
442	4242	5334
443	4249	5321
444	4257	5309
445	4264	5296
446	4271	5284
447	4279	5273
448	4286	5260
449	4294	5249
450	4302	5236
451	4310	5225
452	4317	5212
453	4326	5203
454	4334	5191
455	4342	5181
456	4350	5169
457	4358	5158
458	4366	5146
459	4375	5135
460	4382	5123
461	4389	5111
462	4397	5100
463	4404	5088
464	4412	5076
465	4420	5065
466	4428	5054
467	4436	5043
468	4443	5031
469	4451	5019
470	4459	5008
471	4466	4996
472	4474	4985
473	4482	4974
474	4490	4962
475	4497	4950
476	4504	4939
477	4512	4927
478	4520	4916
479	4528	4905
480	4536	4894
481	4543	4883
482	4552	4872
483	4559	4861
484	4567	4850
485	4574	4838
486	4583	4827
487	4589	4815
488	4596	4803
489	4604	4792
490	4611	4780
491	4619	4769
492	4626	4758
493	4634	4747
494	4642	4736
495	4651	4726
496	4658	4715
497	4666	4704
498	4674	4693
499	4683	4683
500	4691	4672
501	4699	4661
502	4706	4650
503	4714	4639
504	4720	4627
505	4728	4616
506	4735	4604
507	4741	4592
508	4750	4582
509	4757	4570
510	4764	4559
511	4772	4548
512	4780	4538
513	4788	4527
514	4796	4516
515	4803	4505
516	4811	4494
517	4818	4483
518	4825	4471
519	4832	4461
520	4840	4450
521	4848	4439
522	4855	4428
523	4864	4418
524	4871	4407
525	4878	4396
526	4885	4384
527	4893	4374
528	4900	4363
529	4908	4352
530	4915	4341
531	4922	4330
532	4930	4320
533	4938	4309
534	4946	4299
535	4953	4287
536	4960	4277
537	4968	4266
538	4976	4256
539	4983	4245
540	4991	4234
541	4998	4223
542	5005	4213
543	5013	4202
544	5021	4191
545	5029	4182
546	5036	4170
547	5044	4161
548	5051	4149
549	5060	4140
550	5067	4129
551	5076	4120
552	5084	4109
553	5092	4099
554	5099	4088
555	5107	4078
556	5114	4067
557	5122	4057
558	5130	4047
559	5137	4036
560	5145	4026
561	5152	4015
562	5159	4004
563	5166	3994
564	5175	3984
565	5182	3973
566	5189	3962
567	5196	3952
568	5205	3942
569	5212	3932
570	5220	3922
571	5227	3911
572	5235	3901
573	5242	3891
574	5249	3880
575	5258	3870
576	5265	3860
577	5273	3850
578	5280	3839
579	5289	3830
580	5296	3819
581	5304	3809
582	5311	3799
583	5320	3790
584	5327	3779
585	5336	3770
586	5348	3763
587	5356	3753
588	5363	3742
589	5372	3733
590	5381	3724
591	5389	3714
592	5400	3706
593	5408	3696
594	5417	3687
595	5425	3677
596	5434	3668
597	5442	3658
598	5452	3650
599	5460	3640
600	5470	3631
601	5477	3621
602	5487	3612
603	5493	3602
604	5502	3592
605	5510	3582
606	5519	3573
607	5528	3564
608	5536	3554
609	5544	3544
610	5553	3535
611	5560	3525
612	5568	3515
613	5575	3505
614	5585	3496
615	5594	3487
616	5602	3477
617	5609	3467
618	5617	3457
619	5625	3447
620	5633	3437
621	5640	3427
622	5648	3418
623	5656	3408
624	5665	3399
625	5672	3389
626	5682	3380
627	5689	3370
628	5698	3361
629	5706	3351
630	5714	3341
631	5721	3331
632	5730	3322
633	5737	3312
634	5744	3302
635	5752	3292
636	5760	3282
637	5767	3272
638	5775	3262
639	5783	3253
640	5792	3244
641	5799	3233
642	5807	3224
643	5814	3214
644	5821	3204
645	5829	3194
646	5836	3184
647	5844	3174
648	5852	3165
649	5860	3155
650	5868	3146
651	5876	3136
652	5883	3126
653	5891	3117
